ID,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Soil_Type,Horizontal_Distance_To_Fire_Points
0044358090023,3094,14,4,60,3,1368,216,231,153,7202,1471
0045171663593,3389,124,5,360,26,642,229,236,141,8776,738
0045475226081,3188,51,6,361,30,1180,223,227,139,7202,1921
0047898667328,3242,270,14,95,24,1012,184,244,199,7202,1834
0050128976824,3284,37,9,361,69,1172,220,219,134,7202,1822
0050409187857,3122,297,13,256,82,430,183,235,192,7201,1558
0052083829870,3142,39,9,67,5,1146,221,219,133,7201,4867
0052167144462,3355,146,21,459,-7,516,243,232,106,7756,708
0053473665634,3313,340,15,638,66,860,187,217,168,7202,1176
0053765487654,2973,301,7,0,0,295,201,237,176,7202,162
0055367455659,3128,166,2,30,2,443,221,239,155,7101,2618
0056407788300,3246,24,18,192,10,1756,207,199,123,7201,4694
0058354509588,3293,313,21,644,94,731,159,219,198,7201,1087
0059951626463,3255,302,21,297,51,384,155,225,207,7757,738
0063662224818,3277,323,12,454,93,408,190,228,177,7202,1454
0064105162407,3196,31,4,300,31,1317,219,230,148,7202,2166
0065390437249,3246,108,9,510,113,824,236,230,125,7201,5498
0066489850307,3194,212,14,30,-2,2132,208,252,178,7202,3969
0066553857300,3284,95,10,42,4,757,237,225,118,7756,780
0068066168348,3353,135,13,685,24,870,240,234,120,7757,4447
0071918882828,3308,157,26,510,127,1507,238,233,107,7757,1126
0073182119662,3138,140,4,134,7,663,225,238,148,6731,2395
0073234323542,3188,121,19,633,67,636,248,221,93,7756,860
0073376863968,3299,317,8,658,115,658,198,233,174,7202,1205
0073796103347,3222,13,13,42,-6,2023,207,213,142,7202,4502
0074604578159,3276,319,15,301,44,870,179,225,185,7202,1620
0074767494075,3356,45,12,60,7,1485,223,213,122,8703,3476
0075183060172,3332,76,12,579,137,446,235,217,111,8771,450
0076201211897,3326,164,25,547,177,1505,233,238,119,7757,1530
0078364768027,3432,182,7,603,54,1315,223,245,156,8771,3900
0079201812545,3166,160,17,268,88,201,235,241,131,7756,2897
0081406179569,3205,141,10,30,7,1852,235,237,132,7101,1621
0082870431580,3192,302,9,90,13,467,194,236,181,7201,1050
0083844287295,3083,309,3,247,40,351,210,237,165,7201,607
0084372351328,3249,339,7,153,60,175,204,230,164,7202,1530
0085722945525,3227,90,10,270,28,361,235,224,120,7202,1248
0086666164942,3386,299,7,878,201,1034,200,237,177,7755,566
0086966163362,3193,225,15,60,-3,2090,199,253,188,7202,3997
0088924565423,3234,295,11,558,50,598,190,237,187,7202,957
0089237733035,3316,340,5,361,-15,1464,210,233,162,8771,1965
0089511871644,3260,236,16,120,14,1052,191,252,197,7202,1690
0089714394636,3372,98,8,713,43,1040,234,228,126,8771,4279
0092167227086,3179,309,3,0,0,474,210,237,165,7202,1144
0097304646553,3318,193,16,382,-4,1676,216,251,164,7757,3976
0099466036111,3057,341,17,242,14,330,181,212,168,7201,488
0100803822783,3185,112,8,437,24,1283,235,231,128,7202,1836
0101778367026,3165,343,6,150,-13,824,208,231,161,7201,1036
0101913775235,3119,338,5,524,-66,1213,209,233,162,7202,1146
0102418110866,3051,334,10,90,0,272,197,227,169,7201,661
0102578282649,3132,333,8,446,-53,1064,201,229,168,7202,987
0103110050214,3155,140,14,295,77,234,240,235,121,7756,2242
0108517991641,3384,346,21,685,185,845,174,201,162,7757,684
0110112912983,3278,301,23,636,79,735,149,223,211,7201,1103
0110453479701,3254,338,15,108,15,573,187,218,170,7756,1116
0110630968608,3160,16,7,339,36,1674,214,226,148,7700,949
0111711004291,3233,244,25,30,2,2081,161,250,219,7201,3903
0113402679085,3252,208,24,120,38,2335,196,254,182,7201,3735
0115235732180,3342,327,10,0,0,1466,196,229,173,8771,1682
0119313672917,3304,231,25,488,159,1379,173,253,208,7756,4235
0119517584887,3288,297,2,541,104,531,213,238,163,7202,1320
0120386410146,3196,31,16,124,34,805,214,203,120,7202,1981
0120998414044,3242,72,10,175,36,755,232,220,119,7202,1958
0121472110155,3033,319,14,270,43,351,183,226,183,7201,408
0122870199612,3276,309,20,648,77,741,161,223,200,7201,1040
0123211091848,3410,61,8,201,1,1655,227,223,129,8703,3482
0123856075470,3096,331,12,242,6,255,192,225,172,7201,1871
0124333479668,3412,295,12,150,8,2015,187,237,190,7756,3525
0124726711870,3215,241,13,404,0,497,194,250,193,7202,1878
0125496316753,3289,325,22,395,97,582,162,211,186,7757,391
0126419726932,3188,15,7,242,33,1235,214,225,148,7202,2188
0127487473469,3209,86,17,124,17,2297,243,208,89,7202,4188
0128222851979,3219,315,8,626,59,1337,199,234,174,7202,2505
0130219478441,3188,91,18,153,13,2213,245,208,85,7202,4239
0130353199523,3389,356,8,849,199,1124,208,226,156,7755,768
0131821611516,3107,321,13,297,42,234,185,227,181,7201,1679
0133399517351,3279,259,10,516,80,591,196,246,189,7202,1207
0138503939807,3325,192,21,108,19,2185,213,251,162,7756,3660
0140752650099,3122,100,10,162,11,210,237,227,120,7202,5393
0141679850159,3178,355,18,268,52,558,189,206,153,7201,1855
0142159781505,3127,247,5,180,-5,540,209,244,173,6731,2496
0142996795482,3296,171,24,485,141,1590,229,242,132,7757,1463
0146840547890,3372,291,11,966,95,1103,190,238,188,7202,789
0147621817348,3116,288,20,212,72,342,160,234,212,7201,1756
0148875648313,3326,19,16,42,7,1765,207,204,131,8771,1943
0151418529918,3185,134,16,339,107,295,244,231,111,7756,2723
0152484683139,3135,117,3,85,2,607,225,236,146,6731,2460
0152591602191,3412,69,11,90,3,1782,232,218,116,8703,3368
0152649480696,3214,160,9,342,53,983,230,242,144,7202,2040
0156244916109,3385,123,10,335,46,1832,237,233,126,8771,3073
0158030170900,3394,124,7,30,1,1767,233,235,135,8703,3276
0158892990807,3247,94,21,541,86,1266,248,203,73,7202,1768
0160220004636,3043,337,13,0,0,90,190,221,170,7201,400
0162090676661,3205,340,13,95,20,1664,191,220,168,7756,560
0162689341475,3161,333,8,319,-24,1158,201,229,168,7700,792
0163671966553,3223,196,4,323,40,793,219,243,160,7202,693
0168012854193,3214,211,12,67,16,878,210,251,176,7202,1981
0168678000071,3359,288,30,495,161,616,125,222,230,7757,859
0169976631950,3245,33,12,335,46,430,218,214,131,7202,1298
0170064459080,3187,193,9,247,26,1121,219,248,162,7202,2021
0170658181342,3237,223,12,430,53,306,205,251,182,7202,1774
0171657235517,3244,340,14,42,1,1213,190,219,167,7202,1830
0171680345955,3260,47,20,30,-7,2032,222,193,97,7202,4633
0174397253544,3158,262,15,108,18,1260,182,246,202,8776,1340
0174516095772,3234,159,21,242,68,808,237,239,122,4758,2048
0174859207078,3273,207,22,404,121,1506,200,254,180,7756,4188
0175682178726,3163,43,11,150,21,1341,222,217,128,7201,4771
0176683405538,3312,284,20,582,129,752,162,236,213,7757,350
0176798635981,3220,129,22,210,54,558,249,221,89,4758,2113
0177982990459,3140,333,8,408,-45,1087,201,229,168,7202,930
0179950378306,3215,127,2,371,54,1082,223,237,150,7202,1958
0182558203567,3338,345,10,120,-3,1989,200,224,163,8772,4843
0183055126229,3225,111,14,124,32,1745,243,224,107,7202,1548
0183461863824,3184,345,5,85,0,1572,211,232,160,7756,700
0183546157213,3199,305,9,134,15,335,195,235,181,7202,1095
0186068234363,3173,278,10,60,12,642,193,242,189,7202,2376
0191034170286,3222,221,5,342,39,752,214,244,167,7202,721
0192085748349,3225,289,17,240,64,552,169,235,206,7757,2489
0193858830773,3101,317,9,134,15,67,197,233,175,7202,1249
0194394769305,3213,120,20,488,92,513,250,218,87,7756,750
0194571795608,3236,343,20,481,37,551,176,205,166,7202,1082
0195301378740,3286,144,18,497,111,1682,243,234,113,7757,1224
0195760745930,3185,45,2,240,0,1284,219,235,152,7756,576
0195978697540,3186,304,7,60,7,467,201,237,175,7202,1080
0196907167257,3156,342,3,175,-21,875,213,235,159,7201,1040
0196934569727,2989,350,9,60,0,228,203,224,160,7201,192
0198963504632,3198,76,9,379,37,1390,232,223,124,7202,2188
0200507776884,3336,84,10,618,141,474,234,224,121,8771,509
0200550973391,3247,348,21,446,98,666,177,202,159,7201,1648
0201191895776,3196,225,17,192,23,671,194,254,192,7756,2542
0201850112411,3002,287,10,150,37,404,193,240,187,7201,400
0202842690214,3188,37,20,256,51,1040,216,193,105,7201,5076
0203576786242,3215,33,19,170,6,1782,213,196,112,7201,4602
0203939980225,3446,88,8,67,-2,1888,233,227,126,8703,3347
0204421476103,3399,274,28,569,201,700,136,234,231,7757,908
0205399686143,3091,343,5,547,48,648,210,232,161,7201,830
0206946570830,3225,278,14,362,41,240,180,241,201,7202,1928
0207033950214,3341,117,20,603,145,443,250,217,86,8771,323
0207797313973,3041,316,13,361,70,524,184,228,183,7201,503
0208002565705,3118,283,9,134,11,1209,196,241,184,7700,1493
0208894228986,3394,348,15,573,202,698,191,214,161,7757,720
0210012501529,3251,75,3,319,52,390,223,234,147,7202,1381
0210870065607,3233,34,17,192,43,949,215,200,115,7202,1919
0211675922232,3396,207,14,540,67,1116,209,252,175,7756,4118
0212164727864,3274,277,26,331,57,525,142,235,227,7757,942
0212729315642,3234,229,18,212,19,993,191,254,196,8776,1230
0213128390001,3165,160,14,153,20,1090,234,242,135,7202,2012
0214492704272,3300,280,23,510,194,450,152,236,220,7201,878
0214524082798,3305,86,14,573,27,859,239,216,105,8776,5640
0214902914130,3220,63,14,532,59,1282,232,211,108,7202,1771
0215262260295,3111,182,9,192,33,85,223,246,156,7201,3435
0217388525128,2990,331,15,85,23,309,184,221,176,7201,499
0217443522901,3147,39,10,258,11,794,221,219,132,7202,2236
0217583531481,3079,333,8,0,0,1149,201,229,168,7202,1695
0217950504858,3062,304,5,60,2,912,205,237,171,7700,1756
0219143233309,3144,139,4,400,33,339,227,238,146,7202,5692
0219185432555,3133,98,10,108,6,323,237,225,118,7202,5392
0219747554176,3324,108,11,319,33,1825,239,227,117,8771,3072
0222686858236,3352,70,13,664,207,1519,233,214,111,7755,1511
0222792122535,3163,126,14,182,29,811,243,229,112,7202,2242
0225434141444,3386,155,7,900,208,1155,228,241,146,7102,722
0226314461027,3064,65,4,42,2,1061,223,231,143,7202,1654
0226770062622,3358,355,8,351,22,1103,207,225,157,7756,3738
0227698387286,3153,232,10,30,-5,837,203,250,183,7202,2322
0229396862898,3239,45,9,0,0,700,223,221,133,7101,1020
0229859162022,2993,294,10,150,27,376,191,238,187,7201,247
0230908962128,3329,215,20,242,91,2355,197,254,187,7756,3608
0231508625680,3378,95,8,242,39,1744,234,228,126,8771,3166
0231839858481,3253,41,14,216,45,1110,221,208,119,7202,1939
0236406921483,3132,333,8,474,-53,1020,201,229,168,7202,981
0236671116621,3016,3,5,85,-7,810,214,231,155,7202,1543
0237135647408,3312,121,3,150,21,1664,224,237,148,7201,3240
0239062814625,3224,214,18,234,72,1507,201,254,184,7201,4298
0240957454031,3372,256,2,228,40,1507,214,240,163,8776,1999
0242374398967,3244,302,27,495,151,437,137,216,215,7201,1034
0242935385207,3178,148,14,134,29,1248,238,238,128,7202,1889
0243960544928,3251,315,14,624,173,564,182,228,185,7201,1423
0245881101396,3188,270,33,127,29,693,117,229,241,7202,2088
0246086117342,3267,48,12,552,68,648,224,214,122,7202,1168
0246110732855,3278,336,15,228,35,1401,187,219,171,7202,1929
0250453818954,3154,146,5,0,0,1846,228,239,145,7101,4355
0250903010044,3212,272,22,306,99,283,155,240,221,7201,666
0250906656898,3317,120,28,255,81,1548,254,204,59,7757,1463
0252677434873,3356,183,16,124,11,2227,222,249,154,7756,3570
0253070050806,3253,142,17,382,78,1812,243,233,114,7757,1370
0253186345957,3263,235,29,180,35,553,157,250,218,8776,1284
0255611837143,3131,338,8,417,-54,1158,204,229,165,7202,1012
0256159951971,3343,350,33,190,59,1101,143,166,148,8772,1507
0257067883613,3452,39,3,458,0,1506,220,232,149,8703,3742
0257818075007,3379,3,10,330,30,1765,206,220,152,8772,5060
0258832667452,3377,104,9,42,0,1699,236,229,124,8703,3309
0259983562887,3112,323,5,124,12,912,208,235,166,7700,1798
0259984405169,3041,301,1,120,8,190,215,238,161,7201,573
0260353971901,3355,56,24,726,218,1121,227,181,74,8776,5401
0261260838103,3330,193,20,170,36,2249,213,252,164,7756,3632
0261297083729,3096,297,7,85,9,1195,199,238,178,7700,1595
0262710058461,3423,112,13,60,-14,1950,242,225,109,8703,3178
0263412546584,3209,302,9,182,26,787,195,236,181,7201,800
0263655632983,3183,311,5,90,9,553,206,236,169,7201,1057
0265380875857,3201,288,22,306,95,270,155,232,215,7201,731
0266714130826,3252,50,24,95,-15,2089,223,182,80,7202,4574
0268994881740,3173,312,13,95,12,576,185,230,185,7202,2347
0269433700011,3161,333,25,150,16,376,155,199,178,7757,2376
0269542257345,3284,299,21,362,74,631,156,227,209,7757,1053
0270440420007,3338,330,32,175,74,1006,128,183,184,8772,1489
0271343473442,3145,328,6,30,5,789,206,233,166,7202,1176
0272214302458,3192,145,18,212,31,918,242,234,114,7202,2139
0272493590065,3061,336,11,175,34,379,194,225,169,7201,760
0272963616097,3335,320,16,553,140,742,176,223,186,7757,466
0274424743618,3191,173,14,297,17,564,228,246,147,7756,2624
0274431303225,3135,40,8,216,2,660,221,222,136,6731,2377
0274525636376,3173,324,12,242,-12,1250,189,227,177,7700,731
0274606582158,3327,85,20,120,-6,2162,244,202,78,7202,4609
0278227879741,3233,142,13,295,52,1812,238,237,126,7757,1398
0278632349372,3177,186,4,272,19,1090,220,243,158,7101,2011
0278692752242,3291,120,20,700,12,967,250,218,87,7700,5520
0279276200432,3372,201,3,713,180,902,218,242,161,7755,577
0279455670322,3328,100,19,90,-2,2136,247,211,85,7202,4639
0282159084357,3277,255,8,577,79,1165,202,246,182,4758,1682
0283845232113,3260,221,9,134,25,1024,209,249,176,7202,1717
0286427689916,3210,95,16,95,6,2317,244,215,96,7202,4158
0288422466783,3308,16,10,175,-23,1478,212,220,145,7202,1869
0289785103605,3081,294,5,218,38,323,207,239,171,7201,592
0290283512141,3315,77,8,175,2,1994,230,226,129,8771,2006
0291250581665,3469,338,11,579,156,1107,196,225,167,8776,1350
0294495118368,3439,126,6,30,-3,2015,231,236,137,8703,3216
0295823286629,3290,218,13,30,-3,2036,205,252,181,7756,3780
0295977782473,3236,88,16,175,41,1691,242,212,95,7757,1482
0296038785945,3413,27,8,636,214,732,217,223,142,8776,841
0298153448392,3446,313,12,713,248,870,187,230,183,8776,1020
0298503404306,3164,160,18,60,-1,658,236,241,128,7202,2232
0298613651454,3201,40,4,417,7,150,220,231,147,7745,2135
0299265702310,3321,79,1,834,58,892,220,236,152,7202,1012
0299696783445,3384,80,29,268,8,2419,243,175,41,8776,4388
0300628507067,3283,262,22,95,36,1140,161,245,219,7201,1583
0301364838255,3200,214,22,170,53,1448,194,254,188,7201,4388
0301560739424,3148,132,6,324,28,379,230,237,140,7202,5578
0302084714997,3152,317,11,30,8,684,192,231,179,7202,2131
0302167756852,3184,75,11,342,30,1231,234,219,116,7202,2285
0302273668179,3067,333,13,182,38,408,191,223,172,7201,789
0303678125724,3336,227,22,150,4,1909,182,254,202,7757,3786
0304989490921,3344,119,18,595,163,1513,248,222,95,7757,1074
0306204551790,3426,286,20,648,224,806,159,234,213,7757,992
0308003854430,2983,279,10,42,5,342,194,242,187,7202,247
0311771390734,3415,94,13,309,86,1082,240,221,109,8703,4011
0311828589241,3265,74,8,192,20,895,230,224,127,7756,842
0312501654713,3283,315,11,484,99,433,191,231,180,7202,1443
0312902531378,3276,59,10,335,68,1092,228,220,125,7202,1822
0313933273060,3148,333,10,342,-37,1155,198,228,169,7700,882
0314996954804,3149,206,7,0,0,866,216,247,166,7101,2293
0316490289154,3132,304,5,60,-1,691,205,237,171,7202,1080
0317145402102,3335,24,6,342,59,1074,217,226,146,7756,514
0319586527826,3201,46,17,402,6,1020,223,200,105,7756,1425
0324850714895,3345,142,25,592,190,1657,246,225,91,7757,1332
0325273219936,3162,72,12,443,51,404,233,217,115,7202,5769
0325389027661,3418,184,14,277,14,1888,223,249,156,7756,3624
0325484375186,3337,46,16,484,-20,1277,223,202,108,8771,1727
0325907544861,3449,133,10,60,0,2037,237,235,128,8772,3144
0326040886320,3155,67,2,569,-39,865,221,235,151,7201,1524
0327363037765,3236,292,14,210,14,607,179,236,197,7757,1154
0329816114870,3461,99,3,430,8,1566,224,235,146,8703,3733
0329940340626,3061,278,9,150,21,787,196,242,185,7700,1836
0331285434243,3169,291,22,335,77,283,154,231,215,7201,1064
0337159697356,3176,94,15,534,46,511,242,216,99,7201,5810
0339226985311,3012,324,13,210,22,324,188,226,178,7201,324
0339575108577,3215,313,17,192,29,1245,172,225,192,7756,882
0340211621374,3248,327,16,247,38,513,179,220,180,7757,1006
0340554625169,3239,19,15,323,40,424,208,207,133,7202,1282
0342040481037,3152,265,13,108,17,1266,185,246,199,7700,1348
0342194466607,3430,33,7,451,52,1400,219,226,143,8703,3766
0343518563019,3153,335,10,30,6,711,198,227,168,7202,1263
0344107618455,3197,177,16,277,23,577,226,247,148,7756,2627
0346002921838,3281,182,24,67,21,2462,219,247,147,7757,3654
0346305487192,3098,342,5,524,13,646,209,232,161,7201,870
0346983070259,3366,107,11,685,37,933,238,227,119,8771,4381
0349836380390,3244,30,15,514,45,592,214,206,124,7202,1074
0349954113375,3359,103,14,658,30,912,242,222,106,8771,4389
0350384758494,3155,32,7,124,12,1380,219,224,142,7101,4711
0350724891348,3361,146,21,624,196,1613,243,232,107,7755,1273
0351911502207,3231,324,8,180,9,603,199,231,172,7757,1168
0355487146896,3043,342,17,95,0,180,184,213,167,7201,402
0356056202760,3416,221,13,201,38,1952,204,252,182,7756,3615
0357602584040,3469,137,12,124,20,2101,238,235,126,8772,3078
0357739557405,3249,33,13,190,33,1134,217,211,127,7202,1967
0359867179405,3212,149,23,391,134,324,243,232,105,7701,2951
0360030016823,3222,318,13,457,38,330,187,228,182,7202,1926
0362087847412,3268,312,23,666,84,738,153,217,201,7201,977
0362162089201,3190,70,6,270,29,1124,226,229,137,7202,2007
0362949415360,3249,103,19,90,-27,2525,248,212,85,7757,3941
0365741553636,3294,110,15,458,102,309,244,223,104,7756,708
0367647443370,3176,252,5,85,13,819,210,243,171,7202,2397
0368500178064,3308,51,10,0,0,2028,225,219,127,7202,4734
0370406138363,3190,346,14,376,148,134,191,217,163,7201,2147
0370797614170,3449,235,10,319,91,811,203,249,183,8776,1230
0372682060185,3227,113,18,446,149,404,248,218,91,7756,2716
0373945912432,3239,351,6,85,5,595,209,229,159,7101,1200
0374841656239,3085,348,6,240,42,335,209,231,160,7201,558
0377730572443,3382,284,31,532,184,658,121,223,234,7757,883
0377735211927,3253,313,18,537,168,484,170,224,193,8772,1158
0378751081778,3301,273,14,595,128,716,181,243,201,7757,371
0379399928500,3389,322,11,780,194,953,191,229,177,7755,698
0379604651650,3305,295,18,601,121,750,167,232,205,7757,297
0381409223536,3453,135,1,67,0,1888,220,238,154,8703,3369
0381631486495,3092,322,8,201,24,150,199,232,173,7202,1602
0382184465616,3094,335,8,67,4,247,202,230,166,7202,2060
0383232648173,3262,296,24,319,64,404,146,225,216,7757,765
0384165492338,3264,123,18,579,103,1182,248,223,96,4758,1822
0387397724659,3239,79,10,108,24,1205,233,223,121,7202,2028
0390657529710,3039,327,13,228,-3,306,189,225,176,7201,424
0390773572454,3244,57,25,499,102,1316,227,178,70,7700,5101
0391143582424,3263,174,23,573,170,443,226,244,137,7701,3170
0391905513192,3064,331,12,162,31,418,192,225,172,7201,794
0392248372187,3433,140,13,618,-19,1387,239,236,125,8771,3922
0393770828999,3295,140,23,488,130,1739,247,226,95,7757,1348
0396901303914,3196,145,14,242,35,942,239,237,125,7202,2110
0397672996688,3251,266,12,108,26,1036,189,245,196,7202,1806
0399705537769,3180,286,8,124,14,1226,197,240,183,7700,1230
0400344451931,3219,130,12,323,41,560,240,233,122,7202,859
0401440934427,3227,149,11,467,136,335,235,239,134,7701,3140
0408587401218,3126,305,15,190,31,134,178,231,193,7201,828
0409863133038,3375,339,3,866,192,1055,212,234,160,7102,684
0410677343070,3202,306,11,150,19,785,190,234,184,7201,837
0413549275981,3238,105,17,295,57,1718,247,216,91,7757,1360
0413600910400,3195,3,5,420,35,1357,214,231,155,7202,2255
0414194838521,3428,45,5,390,99,1146,222,228,142,8703,3978
0414250386911,3345,233,16,30,0,2079,191,253,196,7756,3632
0416244977228,3276,324,9,560,78,1116,198,231,172,7700,1670
0416451137767,3324,34,7,732,51,924,219,225,142,7202,1057
0416614641148,3458,169,11,484,5,1537,228,245,147,8703,3784
0417147896234,3169,342,2,0,0,600,214,235,159,7202,1237
0419958472942,3159,291,10,42,2,1359,192,239,186,7700,1195
0425657565595,3302,57,7,339,44,1057,225,226,136,7756,666
0426440086884,3169,219,9,150,10,731,210,249,175,7202,2445
0427827744397,3209,295,4,150,10,95,209,238,169,7202,1339
0428306203466,3178,208,16,85,20,1716,207,253,178,7201,4290
0428672106705,3408,345,17,819,216,977,184,211,164,7757,780
0428855827045,3204,129,15,175,23,1871,243,230,111,7202,1495
0432675192245,3319,189,11,757,184,721,220,249,161,7757,4579
0433123246862,3392,59,4,764,202,1194,223,231,143,7755,853
0433742249862,3067,60,5,85,5,1103,224,229,140,7202,1622
0433755681000,3178,35,16,210,27,1706,216,202,117,7201,4565
0433951860568,3164,135,9,175,31,1027,235,236,133,7202,2060
0435808091194,3449,295,13,674,160,1015,182,236,194,8776,1261
0437292760426,3207,63,8,85,12,1784,227,224,131,7202,1560
0438599807234,3322,291,16,787,133,830,174,236,202,7201,981
0438610111289,3288,192,18,67,5,2143,216,251,162,7756,3751
0439979172393,3087,339,6,484,44,582,207,232,163,7201,765
0440583835352,3375,280,24,534,27,630,149,235,222,7201,1061
0440912050340,3130,243,2,234,4,543,215,240,163,6731,2486
0441234012306,3318,328,8,757,134,785,202,231,169,7202,1053
0441494766797,3186,201,11,30,-2,2137,216,250,168,7202,4001
0442328015104,3435,291,16,655,221,983,173,236,202,7757,1266
0442901707082,3243,11,20,417,106,1087,195,196,134,7700,5191
0443974693494,3269,99,17,240,-28,2496,246,215,92,7202,3789
0444032892613,3312,332,29,127,49,947,141,189,181,8772,1433
0445220909717,3373,275,22,470,25,607,154,238,221,7201,1020
0445505928259,3036,342,14,30,9,90,191,218,166,7201,371
0448521086682,3318,66,6,255,27,1771,226,228,137,8771,3132
0450463101576,3381,197,10,600,52,1123,218,249,165,7756,4129
0451060000705,3220,302,10,216,37,858,191,235,184,7756,713
0451080061076,3322,338,30,153,41,1019,141,182,171,8772,1471
0452241001078,3117,265,13,90,15,768,188,246,196,8776,1816
0452600960442,3205,336,3,258,6,210,213,235,160,7202,1216
0452887174228,3349,12,14,180,0,1956,205,211,141,8772,4901
0453000913403,3302,331,27,108,42,953,145,194,183,8772,1423
0456705568930,3336,327,34,192,83,934,118,180,190,8772,1465
0457296500934,3416,59,13,60,7,1825,230,211,112,8703,3331
0458327763731,3232,47,12,190,33,1077,224,214,123,7756,966
0459712119478,3283,41,14,319,23,1664,221,208,119,7201,4873
0462107577593,3421,36,7,417,92,1188,220,225,141,8703,3922
0463625950776,3130,278,7,30,3,1358,202,241,179,8776,1288
0463796660580,3169,50,16,234,23,1513,225,202,106,7201,4680
0464440008932,3279,87,14,560,14,815,240,216,104,7201,5671
0464713427040,3242,31,20,127,0,1822,210,192,111,7201,4669
0465714873898,3452,310,18,631,139,1050,169,225,195,8776,1323
0467126367866,3234,6,19,408,97,1127,193,199,140,7700,5161
0468029940644,3164,262,16,120,16,1276,180,246,205,8776,1308
0468554019778,3380,98,10,323,47,1068,237,226,120,8771,3854
0468578568856,3352,18,5,270,3,1230,216,229,150,8703,3716
0470747743285,3309,35,15,295,14,1706,217,206,121,7201,4946
0472653291607,3369,278,9,750,177,938,196,242,185,7102,618
0473751232820,3210,230,21,210,13,1921,182,254,203,7201,4112
0475482451389,3310,307,16,234,63,994,175,229,194,7201,1505
0476679425213,3320,45,17,124,12,1865,222,200,106,7201,4867
0481109018224,3252,296,20,300,68,255,161,230,208,7202,1570
0481143417434,3083,252,2,242,40,342,215,239,161,7201,582
0481746081230,3131,180,1,242,5,607,219,239,157,7101,2423
0484826972923,3210,300,10,192,26,379,192,236,184,7202,1041
0485461844149,3156,58,14,175,7,1595,230,209,109,7201,4591
0488306957332,3466,249,12,713,188,999,195,249,191,8776,1170
0489700055815,3347,140,8,124,18,1560,233,238,136,8771,3331
0494093650974,3067,308,11,60,15,268,190,233,183,7202,641
0494698226994,3331,72,19,120,-11,2458,238,200,85,8776,4186
0497557214668,3255,353,10,234,56,313,203,223,158,7202,1399
0498098513043,3395,130,12,755,66,1146,240,233,122,8771,4176
0499170009539,3377,274,23,516,29,630,152,238,222,7201,1057
0499200926164,3146,149,11,150,19,466,235,239,134,7202,2640
0500521790249,3231,330,18,309,47,192,176,216,179,7202,1883
0500595438603,3083,36,7,134,-1,1252,220,225,141,7202,1561
